#;approach;throughput;slice
1;Gómez;72.934772;QoS 1
2;Gómez;73.228536;QoS 1
3;Gómez;74.50874;QoS 1
4;Gómez;73.655632;QoS 1
5;Gómez;74.716868;QoS 1
6;Gómez;74.804672;QoS 1
7;Gómez;58.75822;QoS 1
8;Gómez;74.793832;QoS 1
9;Gómez;74.642072;QoS 1
10;Gómez;73.112548;QoS 1
11;Gómez;74.941256;QoS 1
12;Gómez;73.100624;QoS 1
13;Gómez;46.397368;QoS 1
14;Gómez;71.420424;QoS 1
15;Gómez;65.792296;QoS 1
16;Gómez;74.99112;QoS 1
17;Gómez;64.522932;QoS 1
18;Gómez;75.499516;QoS 1
19;Gómez;74.777572;QoS 1
20;Gómez;75.249112;QoS 1
21;Gómez;74.539092;QoS 1
22;Gómez;44.944808;QoS 1
23;Gómez;68.16192;QoS 1
24;Gómez;60.797224;QoS 1
25;Gómez;74.967272;QoS 1
26;Gómez;75.465912;QoS 1
27;Gómez;75.044236;QoS 1
28;Gómez;75.423636;QoS 1
29;Gómez;63.024844;QoS 1
30;Gómez;69.356488;QoS 1
1;Proposed;75.691384;QoS 1
2;Proposed;76.018752;QoS 1
3;Proposed;75.046404;QoS 1
4;Proposed;75.18624;QoS 1
5;Proposed;75.594908;QoS 1
6;Proposed;75.708728;QoS 1
7;Proposed;75.826884;QoS 1
8;Proposed;75.633932;QoS 1
9;Proposed;75.655612;QoS 1
10;Proposed;75.697888;QoS 1
11;Proposed;75.561304;QoS 1
12;Proposed;75.605748;QoS 1
13;Proposed;75.378108;QoS 1
14;Proposed;75.501684;QoS 1
15;Proposed;76.070784;QoS 1
16;Proposed;75.785692;QoS 1
17;Proposed;76.22146;QoS 1
18;Proposed;75.02364;QoS 1
19;Proposed;73.420404;QoS 1
20;Proposed;74.212808;QoS 1
21;Proposed;75.893008;QoS 1
22;Proposed;75.292472;QoS 1
23;Proposed;75.618756;QoS 1
24;Proposed;75.910352;QoS 1
25;Proposed;76.117396;QoS 1
26;Proposed;75.59816;QoS 1
27;Proposed;74.79058;QoS 1
28;Proposed;75.143964;QoS 1
29;Proposed;75.539624;QoS 1
30;Proposed;75.623092;QoS 1
1;Gómez;123.325596;BE 1
2;Gómez;125.048072;BE 1
3;Gómez;134.520064;BE 1
4;Gómez;135.213824;BE 1
5;Gómez;130.384604;BE 1
6;Gómez;138.297804;BE 1
7;Gómez;64.53594;BE 1
8;Gómez;73.716336;BE 1
9;Gómez;77.7499;BE 1
10;Gómez;40.242416;BE 1
11;Gómez;132.461548;BE 1
12;Gómez;123.915292;BE 1
13;Gómez;128.433404;BE 1
14;Gómez;180.907676;BE 1
15;Gómez;140.42136000;BE 1
16;Gómez;129.430684;BE 1
17;Gómez;170.392876;BE 1
18;Gómez;174.597712;BE 1
19;Gómez;182.60522;BE 1
20;Gómez;181.351032;BE 1
21;Gómez;127.265936;BE 1
22;Gómez;57.423816;BE 1
23;Gómez;72.998728;BE 1
24;Gómez;148.239168;BE 1
25;Gómez;136.623024;BE 1
26;Gómez;132.722792;BE 1
27;Gómez;136.092948;BE 1
28;Gómez;129.811168;BE 1
29;Gómez;95.365984;BE 1
30;Gómez;156.37242;BE 1
1;Proposed;174.131592;BE 1
2;Proposed;120.896352;BE 1
3;Proposed;157.043416;BE 1
4;Proposed;149.623436;BE 1
5;Proposed;141.155228;BE 1
6;Proposed;145.621308;BE 1
7;Proposed;126.11798;BE 1
8;Proposed;178.658376;BE 1
9;Proposed;122.563544;BE 1
10;Proposed;174.75164;BE 1
11;Proposed;135.019788;BE 1
12;Proposed;160.266148;BE 1
13;Proposed;165.772868;BE 1
14;Proposed;134.018172;BE 1
15;Proposed;118.035676;BE 1
