#;approach;queueing delay;slice
1;Gómez et al.;null;BE 3
2;Gómez et al.;null;BE 3
3;Gómez et al.;null;BE 3
4;Gómez et al.;null;BE 3
5;Gómez et al.;null;BE 3
6;Gómez et al.;null;BE 3
7;Gómez et al.;null;BE 3
8;Gómez et al.;null;BE 3
9;Gómez et al.;null;BE 3
10;Gómez et al.;null;BE 3
11;Gómez et al.;null;BE 3
12;Gómez et al.;null;BE 3
13;Gómez et al.;null;BE 3
14;Gómez et al.;null;BE 3
15;Gómez et al.;null;BE 3
16;Gómez et al.;null;BE 3
17;Gómez et al.;null;BE 3
18;Gómez et al.;null;BE 3
19;Gómez et al.;null;BE 3
20;Gómez et al.;null;BE 3
21;Gómez et al.;null;BE 3
22;Gómez et al.;null;BE 3
23;Gómez et al.;null;BE 3
24;Gómez et al.;null;BE 3
25;Gómez et al.;null;BE 3
26;Gómez et al.;null;BE 3
27;Gómez et al.;null;BE 3
28;Gómez et al.;null;BE 3
29;Gómez et al.;null;BE 3
30;Gómez et al.;null;BE 3
31;Gómez et al.;null;BE 3
32;Gómez et al.;null;BE 3
33;Gómez et al.;null;BE 3
34;Gómez et al.;null;BE 3
35;Gómez et al.;null;BE 3
36;Gómez et al.;null;BE 3
37;Gómez et al.;null;BE 3
38;Gómez et al.;null;BE 3
39;Gómez et al.;null;BE 3
40;Gómez et al.;null;BE 3
41;Gómez et al.;null;BE 3
42;Gómez et al.;null;BE 3
43;Gómez et al.;null;BE 3
44;Gómez et al.;null;BE 3
45;Gómez et al.;null;BE 3
46;Gómez et al.;null;BE 3
47;Gómez et al.;null;BE 3
48;Gómez et al.;null;BE 3
49;Gómez et al.;null;BE 3
50;Gómez et al.;null;BE 3
51;Gómez et al.;null;BE 3
52;Gómez et al.;null;BE 3
53;Gómez et al.;null;BE 3
54;Gómez et al.;null;BE 3
55;Gómez et al.;null;BE 3
56;Gómez et al.;null;BE 3
57;Gómez et al.;null;BE 3
58;Gómez et al.;null;BE 3
59;Gómez et al.;null;BE 3
60;Gómez et al.;null;BE 3
61;Gómez et al.;null;BE 3
62;Gómez et al.;null;BE 3
63;Gómez et al.;null;BE 3
64;Gómez et al.;null;BE 3
65;Gómez et al.;null;BE 3
66;Gómez et al.;null;BE 3
67;Gómez et al.;null;BE 3
68;Gómez et al.;null;BE 3
69;Gómez et al.;null;BE 3
70;Gómez et al.;null;BE 3
71;Gómez et al.;null;BE 3
72;Gómez et al.;null;BE 3
73;Gómez et al.;null;BE 3
74;Gómez et al.;null;BE 3
75;Gómez et al.;null;BE 3
76;Gómez et al.;null;BE 3
77;Gómez et al.;null;BE 3
78;Gómez et al.;null;BE 3
79;Gómez et al.;null;BE 3
80;Gómez et al.;null;BE 3
81;Gómez et al.;null;BE 3
82;Gómez et al.;null;BE 3
83;Gómez et al.;null;BE 3
84;Gómez et al.;null;BE 3
85;Gómez et al.;null;BE 3
86;Gómez et al.;null;BE 3
87;Gómez et al.;null;BE 3
88;Gómez et al.;null;BE 3
89;Gómez et al.;null;BE 3
90;Gómez et al.;null;BE 3
91;Gómez et al.;null;BE 3
92;Gómez et al.;null;BE 3
93;Gómez et al.;null;BE 3
94;Gómez et al.;null;BE 3
95;Gómez et al.;null;BE 3
96;Gómez et al.;null;BE 3
97;Gómez et al.;null;BE 3
98;Gómez et al.;null;BE 3
99;Gómez et al.;null;BE 3
100;Gómez et al.;null;BE 3
101;Gómez et al.;null;BE 3
102;Gómez et al.;null;BE 3
103;Gómez et al.;null;BE 3
104;Gómez et al.;null;BE 3
105;Gómez et al.;null;BE 3
106;Gómez et al.;null;BE 3
107;Gómez et al.;null;BE 3
108;Gómez et al.;null;BE 3
109;Gómez et al.;null;BE 3
110;Gómez et al.;null;BE 3
111;Gómez et al.;null;BE 3
112;Gómez et al.;null;BE 3
113;Gómez et al.;null;BE 3
114;Gómez et al.;null;BE 3
115;Gómez et al.;null;BE 3
116;Gómez et al.;null;BE 3
117;Gómez et al.;null;BE 3
118;Gómez et al.;null;BE 3
119;Gómez et al.;null;BE 3
120;Gómez et al.;null;BE 3
121;Gómez et al.;null;BE 3
122;Gómez et al.;null;BE 3
123;Gómez et al.;null;BE 3
124;Gómez et al.;null;BE 3
125;Gómez et al.;null;BE 3
126;Gómez et al.;null;BE 3
127;Gómez et al.;null;BE 3
128;Gómez et al.;null;BE 3
129;Gómez et al.;null;BE 3
130;Gómez et al.;null;BE 3
131;Gómez et al.;null;BE 3
132;Gómez et al.;null;BE 3
133;Gómez et al.;null;BE 3
134;Gómez et al.;null;BE 3
135;Gómez et al.;null;BE 3
136;Gómez et al.;null;BE 3
137;Gómez et al.;null;BE 3
138;Gómez et al.;null;BE 3
139;Gómez et al.;null;BE 3
140;Gómez et al.;null;BE 3
141;Gómez et al.;null;BE 3
142;Gómez et al.;null;BE 3
143;Gómez et al.;null;BE 3
144;Gómez et al.;null;BE 3
145;Gómez et al.;null;BE 3
146;Gómez et al.;null;BE 3
147;Gómez et al.;null;BE 3
148;Gómez et al.;null;BE 3
149;Gómez et al.;null;BE 3
150;Gómez et al.;null;BE 3
151;Gómez et al.;null;BE 3
152;Gómez et al.;null;BE 3
153;Gómez et al.;null;BE 3
154;Gómez et al.;null;BE 3
155;Gómez et al.;null;BE 3
156;Gómez et al.;null;BE 3
157;Gómez et al.;null;BE 3
158;Gómez et al.;null;BE 3
159;Gómez et al.;null;BE 3
160;Gómez et al.;null;BE 3
161;Gómez et al.;null;BE 3
162;Gómez et al.;null;BE 3
163;Gómez et al.;null;BE 3
164;Gómez et al.;null;BE 3
165;Gómez et al.;null;BE 3
166;Gómez et al.;null;BE 3
167;Gómez et al.;null;BE 3
168;Gómez et al.;null;BE 3
169;Gómez et al.;null;BE 3
170;Gómez et al.;null;BE 3
171;Gómez et al.;null;BE 3
172;Gómez et al.;null;BE 3
173;Gómez et al.;null;BE 3
174;Gómez et al.;null;BE 3
175;Gómez et al.;null;BE 3
176;Gómez et al.;null;BE 3
177;Gómez et al.;null;BE 3
178;Gómez et al.;null;BE 3
179;Gómez et al.;null;BE 3
180;Gómez et al.;null;BE 3
181;Gómez et al.;null;BE 3
182;Gómez et al.;null;BE 3
183;Gómez et al.;null;BE 3
184;Gómez et al.;null;BE 3
185;Gómez et al.;null;BE 3
186;Gómez et al.;null;BE 3
187;Gómez et al.;null;BE 3
188;Gómez et al.;null;BE 3
189;Gómez et al.;null;BE 3
190;Gómez et al.;null;BE 3
191;Gómez et al.;null;BE 3
192;Gómez et al.;null;BE 3
193;Gómez et al.;null;BE 3
194;Gómez et al.;null;BE 3
195;Gómez et al.;null;BE 3
196;Gómez et al.;null;BE 3
197;Gómez et al.;null;BE 3
198;Gómez et al.;null;BE 3
199;Gómez et al.;null;BE 3
200;Gómez et al.;null;BE 3
201;Gómez et al.;null;BE 3
202;Gómez et al.;null;BE 3
203;Gómez et al.;null;BE 3
204;Gómez et al.;null;BE 3
205;Gómez et al.;null;BE 3
206;Gómez et al.;null;BE 3
207;Gómez et al.;null;BE 3
208;Gómez et al.;null;BE 3
209;Gómez et al.;null;BE 3
210;Gómez et al.;null;BE 3
211;Gómez et al.;null;BE 3
212;Gómez et al.;null;BE 3
213;Gómez et al.;null;BE 3
214;Gómez et al.;null;BE 3
215;Gómez et al.;null;BE 3
216;Gómez et al.;null;BE 3
217;Gómez et al.;null;BE 3
218;Gómez et al.;null;BE 3
219;Gómez et al.;null;BE 3
220;Gómez et al.;null;BE 3
221;Gómez et al.;null;BE 3
222;Gómez et al.;null;BE 3
223;Gómez et al.;null;BE 3
224;Gómez et al.;null;BE 3
225;Gómez et al.;null;BE 3
226;Gómez et al.;null;BE 3
227;Gómez et al.;null;BE 3
228;Gómez et al.;null;BE 3
229;Gómez et al.;null;BE 3
230;Gómez et al.;null;BE 3
231;Gómez et al.;null;BE 3
232;Gómez et al.;null;BE 3
233;Gómez et al.;null;BE 3
234;Gómez et al.;null;BE 3
235;Gómez et al.;null;BE 3
236;Gómez et al.;null;BE 3
237;Gómez et al.;null;BE 3
238;Gómez et al.;null;BE 3
239;Gómez et al.;null;BE 3
240;Gómez et al.;null;BE 3
241;Gómez et al.;null;BE 3
242;Gómez et al.;null;BE 3
243;Gómez et al.;null;BE 3
244;Gómez et al.;null;BE 3
245;Gómez et al.;null;BE 3
246;Gómez et al.;null;BE 3
247;Gómez et al.;null;BE 3
248;Gómez et al.;null;BE 3
249;Gómez et al.;null;BE 3
250;Gómez et al.;null;BE 3
251;Gómez et al.;null;BE 3
252;Gómez et al.;null;BE 3
253;Gómez et al.;null;BE 3
254;Gómez et al.;null;BE 3
255;Gómez et al.;null;BE 3
256;Gómez et al.;null;BE 3
257;Gómez et al.;null;BE 3
258;Gómez et al.;null;BE 3
259;Gómez et al.;null;BE 3
260;Gómez et al.;null;BE 3
261;Gómez et al.;null;BE 3
262;Gómez et al.;null;BE 3
263;Gómez et al.;null;BE 3
264;Gómez et al.;null;BE 3
265;Gómez et al.;null;BE 3
266;Gómez et al.;null;BE 3
267;Gómez et al.;null;BE 3
268;Gómez et al.;null;BE 3
269;Gómez et al.;null;BE 3
270;Gómez et al.;null;BE 3
271;Gómez et al.;null;BE 3
272;Gómez et al.;null;BE 3
273;Gómez et al.;null;BE 3
274;Gómez et al.;null;BE 3
275;Gómez et al.;null;BE 3
276;Gómez et al.;null;BE 3
277;Gómez et al.;null;BE 3
278;Gómez et al.;null;BE 3
279;Gómez et al.;null;BE 3
280;Gómez et al.;null;BE 3
281;Gómez et al.;null;BE 3
282;Gómez et al.;null;BE 3
283;Gómez et al.;null;BE 3
284;Gómez et al.;null;BE 3
285;Gómez et al.;null;BE 3
286;Gómez et al.;null;BE 3
287;Gómez et al.;null;BE 3
288;Gómez et al.;null;BE 3
289;Gómez et al.;null;BE 3
290;Gómez et al.;null;BE 3
291;Gómez et al.;null;BE 3
292;Gómez et al.;null;BE 3
293;Gómez et al.;null;BE 3
294;Gómez et al.;null;BE 3
295;Gómez et al.;null;BE 3
296;Gómez et al.;null;BE 3
297;Gómez et al.;null;BE 3
298;Gómez et al.;null;BE 3
299;Gómez et al.;null;BE 3
300;Gómez et al.;null;BE 3
301;Gómez et al.;null;BE 3
302;Gómez et al.;null;BE 3
303;Gómez et al.;null;BE 3
304;Gómez et al.;null;BE 3
305;Gómez et al.;null;BE 3
306;Gómez et al.;null;BE 3
307;Gómez et al.;null;BE 3
308;Gómez et al.;null;BE 3
309;Gómez et al.;null;BE 3
310;Gómez et al.;null;BE 3
311;Gómez et al.;null;BE 3
312;Gómez et al.;null;BE 3
313;Gómez et al.;null;BE 3
314;Gómez et al.;null;BE 3
315;Gómez et al.;null;BE 3
316;Gómez et al.;null;BE 3
317;Gómez et al.;null;BE 3
318;Gómez et al.;null;BE 3
319;Gómez et al.;null;BE 3
320;Gómez et al.;null;BE 3
321;Gómez et al.;null;BE 3
322;Gómez et al.;null;BE 3
323;Gómez et al.;null;BE 3
324;Gómez et al.;null;BE 3
325;Gómez et al.;null;BE 3
326;Gómez et al.;null;BE 3
327;Gómez et al.;null;BE 3
328;Gómez et al.;null;BE 3
329;Gómez et al.;null;BE 3
330;Gómez et al.;null;BE 3
331;Gómez et al.;null;BE 3
332;Gómez et al.;null;BE 3
333;Gómez et al.;null;BE 3
334;Gómez et al.;null;BE 3
335;Gómez et al.;null;BE 3
336;Gómez et al.;null;BE 3
337;Gómez et al.;null;BE 3
338;Gómez et al.;null;BE 3
339;Gómez et al.;null;BE 3
340;Gómez et al.;null;BE 3
341;Gómez et al.;null;BE 3
342;Gómez et al.;null;BE 3
343;Gómez et al.;null;BE 3
344;Gómez et al.;null;BE 3
345;Gómez et al.;null;BE 3
346;Gómez et al.;null;BE 3
347;Gómez et al.;null;BE 3
348;Gómez et al.;null;BE 3
349;Gómez et al.;null;BE 3
350;Gómez et al.;null;BE 3
351;Gómez et al.;null;BE 3
352;Gómez et al.;null;BE 3
353;Gómez et al.;null;BE 3
354;Gómez et al.;null;BE 3
355;Gómez et al.;null;BE 3
356;Gómez et al.;null;BE 3
357;Gómez et al.;null;BE 3
358;Gómez et al.;null;BE 3
359;Gómez et al.;null;BE 3
360;Gómez et al.;null;BE 3
361;Gómez et al.;null;BE 3
362;Gómez et al.;null;BE 3
363;Gómez et al.;null;BE 3
364;Gómez et al.;null;BE 3
365;Gómez et al.;null;BE 3
366;Gómez et al.;null;BE 3
367;Gómez et al.;null;BE 3
368;Gómez et al.;null;BE 3
369;Gómez et al.;null;BE 3
370;Gómez et al.;null;BE 3
371;Gómez et al.;null;BE 3
372;Gómez et al.;null;BE 3
373;Gómez et al.;null;BE 3
374;Gómez et al.;null;BE 3
375;Gómez et al.;null;BE 3
376;Gómez et al.;null;BE 3
377;Gómez et al.;null;BE 3
378;Gómez et al.;null;BE 3
379;Gómez et al.;null;BE 3
380;Gómez et al.;null;BE 3
381;Gómez et al.;null;BE 3
382;Gómez et al.;null;BE 3
383;Gómez et al.;null;BE 3
384;Gómez et al.;null;BE 3
385;Gómez et al.;null;BE 3
386;Gómez et al.;null;BE 3
387;Gómez et al.;null;BE 3
388;Gómez et al.;null;BE 3
389;Gómez et al.;null;BE 3
390;Gómez et al.;null;BE 3
391;Gómez et al.;null;BE 3
392;Gómez et al.;null;BE 3
393;Gómez et al.;null;BE 3
394;Gómez et al.;null;BE 3
395;Gómez et al.;null;BE 3
396;Gómez et al.;null;BE 3
397;Gómez et al.;null;BE 3
398;Gómez et al.;null;BE 3
399;Gómez et al.;null;BE 3
400;Gómez et al.;null;BE 3
401;Gómez et al.;null;BE 3
402;Gómez et al.;null;BE 3
403;Gómez et al.;null;BE 3
404;Gómez et al.;null;BE 3
405;Gómez et al.;null;BE 3
406;Gómez et al.;null;BE 3
407;Gómez et al.;null;BE 3
408;Gómez et al.;null;BE 3
409;Gómez et al.;null;BE 3
410;Gómez et al.;null;BE 3
411;Gómez et al.;null;BE 3
412;Gómez et al.;null;BE 3
413;Gómez et al.;null;BE 3
414;Gómez et al.;null;BE 3
415;Gómez et al.;null;BE 3
416;Gómez et al.;null;BE 3
417;Gómez et al.;null;BE 3
418;Gómez et al.;null;BE 3
419;Gómez et al.;null;BE 3
420;Gómez et al.;null;BE 3
421;Gómez et al.;null;BE 3
422;Gómez et al.;null;BE 3
423;Gómez et al.;null;BE 3
424;Gómez et al.;null;BE 3
425;Gómez et al.;null;BE 3
426;Gómez et al.;null;BE 3
427;Gómez et al.;null;BE 3
428;Gómez et al.;null;BE 3
429;Gómez et al.;null;BE 3
430;Gómez et al.;null;BE 3
431;Gómez et al.;null;BE 3
432;Gómez et al.;null;BE 3
433;Gómez et al.;null;BE 3
434;Gómez et al.;null;BE 3
435;Gómez et al.;null;BE 3
436;Gómez et al.;null;BE 3
437;Gómez et al.;null;BE 3
438;Gómez et al.;null;BE 3
439;Gómez et al.;null;BE 3
440;Gómez et al.;null;BE 3
441;Gómez et al.;null;BE 3
442;Gómez et al.;null;BE 3
443;Gómez et al.;null;BE 3
444;Gómez et al.;null;BE 3
445;Gómez et al.;null;BE 3
446;Gómez et al.;null;BE 3
447;Gómez et al.;null;BE 3
448;Gómez et al.;null;BE 3
449;Gómez et al.;null;BE 3
450;Gómez et al.;null;BE 3
451;Gómez et al.;null;BE 3
452;Gómez et al.;null;BE 3
453;Gómez et al.;null;BE 3
454;Gómez et al.;null;BE 3
455;Gómez et al.;null;BE 3
456;Gómez et al.;null;BE 3
457;Gómez et al.;null;BE 3
458;Gómez et al.;null;BE 3
459;Gómez et al.;null;BE 3
460;Gómez et al.;null;BE 3
461;Gómez et al.;null;BE 3
462;Gómez et al.;null;BE 3
463;Gómez et al.;null;BE 3
464;Gómez et al.;null;BE 3
465;Gómez et al.;null;BE 3
466;Gómez et al.;null;BE 3
467;Gómez et al.;null;BE 3
468;Gómez et al.;null;BE 3
469;Gómez et al.;null;BE 3
470;Gómez et al.;null;BE 3
471;Gómez et al.;null;BE 3
472;Gómez et al.;null;BE 3
473;Gómez et al.;null;BE 3
474;Gómez et al.;null;BE 3
475;Gómez et al.;null;BE 3
476;Gómez et al.;null;BE 3
477;Gómez et al.;null;BE 3
478;Gómez et al.;null;BE 3
479;Gómez et al.;null;BE 3
480;Gómez et al.;null;BE 3
481;Gómez et al.;null;BE 3
482;Gómez et al.;null;BE 3
483;Gómez et al.;null;BE 3
484;Gómez et al.;null;BE 3
485;Gómez et al.;null;BE 3
486;Gómez et al.;null;BE 3
487;Gómez et al.;null;BE 3
488;Gómez et al.;null;BE 3
489;Gómez et al.;null;BE 3
490;Gómez et al.;null;BE 3
491;Gómez et al.;null;BE 3
492;Gómez et al.;null;BE 3
493;Gómez et al.;null;BE 3
494;Gómez et al.;null;BE 3
495;Gómez et al.;null;BE 3
496;Gómez et al.;null;BE 3
497;Gómez et al.;null;BE 3
498;Gómez et al.;null;BE 3
499;Gómez et al.;null;BE 3
500;Gómez et al.;null;BE 3
501;Gómez et al.;null;BE 3
502;Gómez et al.;null;BE 3
503;Gómez et al.;null;BE 3
504;Gómez et al.;null;BE 3
505;Gómez et al.;null;BE 3
506;Gómez et al.;null;BE 3
507;Gómez et al.;null;BE 3
508;Gómez et al.;null;BE 3
509;Gómez et al.;null;BE 3
510;Gómez et al.;null;BE 3
511;Gómez et al.;null;BE 3
512;Gómez et al.;null;BE 3
513;Gómez et al.;null;BE 3
514;Gómez et al.;null;BE 3
515;Gómez et al.;null;BE 3
516;Gómez et al.;null;BE 3
517;Gómez et al.;null;BE 3
518;Gómez et al.;null;BE 3
519;Gómez et al.;null;BE 3
520;Gómez et al.;null;BE 3
521;Gómez et al.;null;BE 3
522;Gómez et al.;null;BE 3
523;Gómez et al.;null;BE 3
524;Gómez et al.;null;BE 3
525;Gómez et al.;null;BE 3
526;Gómez et al.;null;BE 3
527;Gómez et al.;null;BE 3
528;Gómez et al.;null;BE 3
529;Gómez et al.;null;BE 3
530;Gómez et al.;null;BE 3
531;Gómez et al.;null;BE 3
532;Gómez et al.;null;BE 3
533;Gómez et al.;null;BE 3
534;Gómez et al.;null;BE 3
535;Gómez et al.;null;BE 3
536;Gómez et al.;null;BE 3
537;Gómez et al.;null;BE 3
538;Gómez et al.;null;BE 3
539;Gómez et al.;null;BE 3
540;Gómez et al.;null;BE 3
541;Gómez et al.;null;BE 3
542;Gómez et al.;null;BE 3
543;Gómez et al.;null;BE 3
544;Gómez et al.;null;BE 3
545;Gómez et al.;null;BE 3
546;Gómez et al.;null;BE 3
547;Gómez et al.;null;BE 3
548;Gómez et al.;null;BE 3
549;Gómez et al.;null;BE 3
550;Gómez et al.;null;BE 3
551;Gómez et al.;null;BE 3
552;Gómez et al.;null;BE 3
553;Gómez et al.;null;BE 3
554;Gómez et al.;null;BE 3
555;Gómez et al.;null;BE 3
556;Gómez et al.;null;BE 3
557;Gómez et al.;null;BE 3
558;Gómez et al.;null;BE 3
559;Gómez et al.;null;BE 3
560;Gómez et al.;null;BE 3
561;Gómez et al.;null;BE 3
562;Gómez et al.;null;BE 3
563;Gómez et al.;null;BE 3
564;Gómez et al.;null;BE 3
565;Gómez et al.;null;BE 3
566;Gómez et al.;null;BE 3
567;Gómez et al.;null;BE 3
568;Gómez et al.;null;BE 3
569;Gómez et al.;null;BE 3
570;Gómez et al.;null;BE 3
571;Gómez et al.;null;BE 3
572;Gómez et al.;null;BE 3
573;Gómez et al.;null;BE 3
574;Gómez et al.;null;BE 3
575;Gómez et al.;null;BE 3
576;Gómez et al.;null;BE 3
577;Gómez et al.;null;BE 3
578;Gómez et al.;null;BE 3
579;Gómez et al.;null;BE 3
580;Gómez et al.;null;BE 3
581;Gómez et al.;null;BE 3
582;Gómez et al.;null;BE 3
583;Gómez et al.;null;BE 3
584;Gómez et al.;null;BE 3
585;Gómez et al.;null;BE 3
586;Gómez et al.;null;BE 3
587;Gómez et al.;null;BE 3
588;Gómez et al.;null;BE 3
589;Gómez et al.;null;BE 3
590;Gómez et al.;null;BE 3
591;Gómez et al.;null;BE 3
592;Gómez et al.;null;BE 3
593;Gómez et al.;null;BE 3
594;Gómez et al.;null;BE 3
595;Gómez et al.;null;BE 3
596;Gómez et al.;null;BE 3
597;Gómez et al.;null;BE 3
598;Gómez et al.;null;BE 3
599;Gómez et al.;null;BE 3
600;Gómez et al.;null;BE 3
601;Gómez et al.;null;BE 3
602;Gómez et al.;null;BE 3
603;Gómez et al.;null;BE 3
604;Gómez et al.;null;BE 3
605;Gómez et al.;null;BE 3
606;Gómez et al.;null;BE 3
607;Gómez et al.;null;BE 3
608;Gómez et al.;null;BE 3
609;Gómez et al.;null;BE 3
610;Gómez et al.;null;BE 3
611;Gómez et al.;null;BE 3
612;Gómez et al.;null;BE 3
613;Gómez et al.;null;BE 3
614;Gómez et al.;null;BE 3
615;Gómez et al.;null;BE 3
616;Gómez et al.;null;BE 3
617;Gómez et al.;null;BE 3
618;Gómez et al.;null;BE 3
619;Gómez et al.;null;BE 3
620;Gómez et al.;null;BE 3
621;Gómez et al.;null;BE 3
622;Gómez et al.;null;BE 3
623;Gómez et al.;null;BE 3
624;Gómez et al.;null;BE 3
625;Gómez et al.;null;BE 3
626;Gómez et al.;null;BE 3
627;Gómez et al.;null;BE 3
628;Gómez et al.;null;BE 3
629;Gómez et al.;null;BE 3
630;Gómez et al.;null;BE 3
631;Gómez et al.;null;BE 3
632;Gómez et al.;null;BE 3
633;Gómez et al.;null;BE 3
634;Gómez et al.;null;BE 3
635;Gómez et al.;null;BE 3
636;Gómez et al.;null;BE 3
637;Gómez et al.;null;BE 3
638;Gómez et al.;null;BE 3
639;Gómez et al.;null;BE 3
640;Gómez et al.;null;BE 3
641;Gómez et al.;null;BE 3
642;Gómez et al.;null;BE 3
643;Gómez et al.;null;BE 3
644;Gómez et al.;null;BE 3
645;Gómez et al.;null;BE 3
646;Gómez et al.;null;BE 3
647;Gómez et al.;null;BE 3
648;Gómez et al.;null;BE 3
649;Gómez et al.;null;BE 3
650;Gómez et al.;null;BE 3
651;Gómez et al.;null;BE 3
652;Gómez et al.;null;BE 3
653;Gómez et al.;null;BE 3
654;Gómez et al.;null;BE 3
655;Gómez et al.;null;BE 3
656;Gómez et al.;null;BE 3
657;Gómez et al.;null;BE 3
658;Gómez et al.;null;BE 3
659;Gómez et al.;null;BE 3
660;Gómez et al.;null;BE 3
661;Gómez et al.;null;BE 3
662;Gómez et al.;null;BE 3
663;Gómez et al.;null;BE 3
664;Gómez et al.;null;BE 3
665;Gómez et al.;null;BE 3
666;Gómez et al.;null;BE 3
667;Gómez et al.;null;BE 3
668;Gómez et al.;null;BE 3
669;Gómez et al.;null;BE 3
670;Gómez et al.;null;BE 3
671;Gómez et al.;null;BE 3
672;Gómez et al.;null;BE 3
673;Gómez et al.;null;BE 3
674;Gómez et al.;null;BE 3
675;Gómez et al.;null;BE 3
676;Gómez et al.;null;BE 3
677;Gómez et al.;null;BE 3
678;Gómez et al.;null;BE 3
679;Gómez et al.;null;BE 3
680;Gómez et al.;null;BE 3
681;Gómez et al.;null;BE 3
682;Gómez et al.;null;BE 3
683;Gómez et al.;null;BE 3
684;Gómez et al.;null;BE 3
685;Gómez et al.;null;BE 3
686;Gómez et al.;null;BE 3
687;Gómez et al.;null;BE 3
688;Gómez et al.;null;BE 3
689;Gómez et al.;null;BE 3
690;Gómez et al.;null;BE 3
691;Gómez et al.;null;BE 3
692;Gómez et al.;null;BE 3
693;Gómez et al.;null;BE 3
694;Gómez et al.;null;BE 3
695;Gómez et al.;null;BE 3
696;Gómez et al.;null;BE 3
697;Gómez et al.;null;BE 3
698;Gómez et al.;null;BE 3
699;Gómez et al.;null;BE 3
700;Gómez et al.;null;BE 3
701;Gómez et al.;null;BE 3
702;Gómez et al.;null;BE 3
703;Gómez et al.;null;BE 3
704;Gómez et al.;null;BE 3
705;Gómez et al.;null;BE 3
706;Gómez et al.;null;BE 3
707;Gómez et al.;null;BE 3
708;Gómez et al.;null;BE 3
709;Gómez et al.;null;BE 3
710;Gómez et al.;null;BE 3
711;Gómez et al.;null;BE 3
712;Gómez et al.;null;BE 3
713;Gómez et al.;null;BE 3
714;Gómez et al.;null;BE 3
715;Gómez et al.;null;BE 3
716;Gómez et al.;null;BE 3
717;Gómez et al.;null;BE 3
718;Gómez et al.;null;BE 3
719;Gómez et al.;null;BE 3
720;Gómez et al.;null;BE 3
721;Gómez et al.;null;BE 3
722;Gómez et al.;null;BE 3
723;Gómez et al.;null;BE 3
724;Gómez et al.;null;BE 3
725;Gómez et al.;null;BE 3
726;Gómez et al.;null;BE 3
727;Gómez et al.;null;BE 3
728;Gómez et al.;null;BE 3
729;Gómez et al.;null;BE 3
730;Gómez et al.;null;BE 3
731;Gómez et al.;null;BE 3
732;Gómez et al.;null;BE 3
733;Gómez et al.;null;BE 3
734;Gómez et al.;null;BE 3
735;Gómez et al.;null;BE 3
736;Gómez et al.;null;BE 3
737;Gómez et al.;null;BE 3
738;Gómez et al.;null;BE 3
739;Gómez et al.;null;BE 3
740;Gómez et al.;null;BE 3
741;Gómez et al.;null;BE 3
742;Gómez et al.;null;BE 3
743;Gómez et al.;null;BE 3
744;Gómez et al.;null;BE 3
745;Gómez et al.;null;BE 3
746;Gómez et al.;null;BE 3
747;Gómez et al.;null;BE 3
748;Gómez et al.;null;BE 3
749;Gómez et al.;null;BE 3
750;Gómez et al.;null;BE 3
751;Gómez et al.;null;BE 3
752;Gómez et al.;null;BE 3
753;Gómez et al.;null;BE 3
754;Gómez et al.;null;BE 3
755;Gómez et al.;null;BE 3
756;Gómez et al.;null;BE 3
757;Gómez et al.;null;BE 3
758;Gómez et al.;null;BE 3
759;Gómez et al.;null;BE 3
760;Gómez et al.;null;BE 3
761;Gómez et al.;null;BE 3
762;Gómez et al.;null;BE 3
763;Gómez et al.;null;BE 3
764;Gómez et al.;null;BE 3
765;Gómez et al.;null;BE 3
766;Gómez et al.;null;BE 3
767;Gómez et al.;null;BE 3
768;Gómez et al.;null;BE 3
769;Gómez et al.;null;BE 3
770;Gómez et al.;null;BE 3
771;Gómez et al.;null;BE 3
772;Gómez et al.;null;BE 3
773;Gómez et al.;null;BE 3
774;Gómez et al.;null;BE 3
775;Gómez et al.;null;BE 3
776;Gómez et al.;null;BE 3
777;Gómez et al.;null;BE 3
778;Gómez et al.;null;BE 3
779;Gómez et al.;null;BE 3
780;Gómez et al.;null;BE 3
781;Gómez et al.;null;BE 3
782;Gómez et al.;null;BE 3
783;Gómez et al.;null;BE 3
784;Gómez et al.;null;BE 3
785;Gómez et al.;null;BE 3
786;Gómez et al.;null;BE 3
787;Gómez et al.;null;BE 3
788;Gómez et al.;null;BE 3
789;Gómez et al.;null;BE 3
790;Gómez et al.;null;BE 3
791;Gómez et al.;null;BE 3
792;Gómez et al.;null;BE 3
793;Gómez et al.;null;BE 3
794;Gómez et al.;null;BE 3
795;Gómez et al.;null;BE 3
796;Gómez et al.;null;BE 3
797;Gómez et al.;null;BE 3
798;Gómez et al.;null;BE 3
799;Gómez et al.;null;BE 3
800;Gómez et al.;null;BE 3
801;Gómez et al.;null;BE 3
802;Gómez et al.;null;BE 3
803;Gómez et al.;null;BE 3
804;Gómez et al.;null;BE 3
805;Gómez et al.;null;BE 3
806;Gómez et al.;null;BE 3
807;Gómez et al.;null;BE 3
808;Gómez et al.;null;BE 3
809;Gómez et al.;null;BE 3
810;Gómez et al.;null;BE 3
811;Gómez et al.;null;BE 3
812;Gómez et al.;null;BE 3
813;Gómez et al.;null;BE 3
814;Gómez et al.;null;BE 3
815;Gómez et al.;null;BE 3
816;Gómez et al.;null;BE 3
817;Gómez et al.;null;BE 3
818;Gómez et al.;null;BE 3
819;Gómez et al.;null;BE 3
820;Gómez et al.;null;BE 3
821;Gómez et al.;null;BE 3
822;Gómez et al.;null;BE 3
